スキャン番号: 0, ロボットのxは-0.000602, yは0.012727, thetaは-89.999981
スキャン番号: 1, ロボットのxは-0.000602, yは0.012727, thetaは-89.999981
スキャン番号: 2, ロボットのxは-0.000600, yは0.012727, thetaは-89.993661
スキャン番号: 3, ロボットのxは-0.000605, yは0.012727, thetaは-90.007274
スキャン番号: 4, ロボットのxは-0.000603, yは0.012726, thetaは-89.997466
スキャン番号: 5, ロボットのxは-0.000601, yは0.012727, thetaは-89.996205
スキャン番号: 6, ロボットのxは-0.000600, yは0.012727, thetaは-89.994459
スキャン番号: 7, ロボットのxは-0.000605, yは0.012726, thetaは-89.986900
スキャン番号: 8, ロボットのxは-0.000604, yは0.012726, thetaは-89.991953
スキャン番号: 9, ロボットのxは-0.000610, yは0.012728, thetaは-90.011468
スキャン番号: 10, ロボットのxは-0.000609, yは0.012728, thetaは-90.009604
スキャン番号: 11, ロボットのxは-0.000601, yは0.012727, thetaは-90.011520
スキャン番号: 12, ロボットのxは-0.000601, yは0.012726, thetaは-89.995502
スキャン番号: 13, ロボットのxは-0.000601, yは0.012725, thetaは-89.986127
スキャン番号: 14, ロボットのxは-0.000600, yは0.012723, thetaは-89.986517
スキャン番号: 15, ロボットのxは-0.000600, yは0.012722, thetaは-89.992867
スキャン番号: 16, ロボットのxは-0.000602, yは0.012721, thetaは-90.016154
スキャン番号: 17, ロボットのxは-0.000606, yは0.012722, thetaは-90.016183
スキャン番号: 18, ロボットのxは-0.000609, yは0.012724, thetaは-90.038293
スキャン番号: 19, ロボットのxは-0.000615, yは0.012727, thetaは-90.041008
スキャン番号: 20, ロボットのxは-0.000614, yは0.012726, thetaは-90.019938
スキャン番号: 21, ロボットのxは-0.000617, yは0.012726, thetaは-90.028806
スキャン番号: 22, ロボットのxは-0.000620, yは0.012728, thetaは-90.041645
スキャン番号: 23, ロボットのxは-0.000619, yは0.012727, thetaは-90.012140
スキャン番号: 24, ロボットのxは-0.000625, yは0.012729, thetaは-90.041290
スキャン番号: 25, ロボットのxは-0.000622, yは0.012733, thetaは-90.043627
スキャン番号: 26, ロボットのxは-0.000625, yは0.012736, thetaは-90.069619
スキャン番号: 27, ロボットのxは-0.000626, yは0.012737, thetaは-90.057569
スキャン番号: 28, ロボットのxは-0.000627, yは0.012739, thetaは-90.060910
スキャン番号: 29, ロボットのxは-0.000623, yは0.012737, thetaは-90.014381
スキャン番号: 30, ロボットのxは-0.000622, yは0.012737, thetaは-90.005739
スキャン番号: 31, ロボットのxは-0.000620, yは0.012737, thetaは-90.000480
スキャン番号: 32, ロボットのxは-0.000621, yは0.012737, thetaは-90.020801
スキャン番号: 33, ロボットのxは-0.000621, yは0.012739, thetaは-90.046245
スキャン番号: 34, ロボットのxは-0.000621, yは0.012738, thetaは-90.026869
スキャン番号: 35, ロボットのxは-0.000619, yは0.012739, thetaは-90.010933
スキャン番号: 36, ロボットのxは-0.000617, yは0.012739, thetaは-90.004721
スキャン番号: 37, ロボットのxは-0.000618, yは0.012738, thetaは-90.004942
スキャン番号: 38, ロボットのxは-0.000625, yは0.012741, thetaは-90.051180
スキャン番号: 39, ロボットのxは-0.000622, yは0.012743, thetaは-90.052969
スキャン番号: 40, ロボットのxは-0.000625, yは0.012745, thetaは-90.058057
スキャン番号: 41, ロボットのxは-0.000627, yは0.012747, thetaは-90.073122
スキャン番号: 42, ロボットのxは-0.000629, yは0.012748, thetaは-90.068698
スキャン番号: 43, ロボットのxは-0.000634, yは0.012749, thetaは-90.063502
スキャン番号: 44, ロボットのxは-0.000634, yは0.012751, thetaは-90.053461
スキャン番号: 45, ロボットのxは-0.000641, yは0.012752, thetaは-90.045713
スキャン番号: 46, ロボットのxは-0.000643, yは0.012753, thetaは-90.065556
スキャン番号: 47, ロボットのxは-0.000647, yは0.012755, thetaは-90.066166
スキャン番号: 48, ロボットのxは-0.000651, yは0.012756, thetaは-90.069271
スキャン番号: 49, ロボットのxは-0.000653, yは0.012757, thetaは-90.070391
スキャン番号: 50, ロボットのxは-0.000650, yは0.012756, thetaは-90.029969
スキャン番号: 51, ロボットのxは-0.000646, yは0.012754, thetaは-90.001946
スキャン番号: 52, ロボットのxは-0.000645, yは0.012753, thetaは-90.000262
スキャン番号: 53, ロボットのxは-0.000646, yは0.012752, thetaは-89.991839
スキャン番号: 54, ロボットのxは-0.000643, yは0.012751, thetaは-89.997870
スキャン番号: 55, ロボットのxは-0.000642, yは0.012751, thetaは-90.011155
スキャン番号: 56, ロボットのxは-0.000641, yは0.012750, thetaは-90.002818
スキャン番号: 57, ロボットのxは-0.000639, yは0.012751, thetaは-90.013552
スキャン番号: 58, ロボットのxは-0.000640, yは0.012750, thetaは-90.007954
スキャン番号: 59, ロボットのxは-0.000640, yは0.012750, thetaは-89.999999
スキャン番号: 60, ロボットのxは-0.000640, yは0.012749, thetaは-90.011882
スキャン番号: 61, ロボットのxは-0.000640, yは0.012747, thetaは-90.000358
スキャン番号: 62, ロボットのxは-0.000642, yは0.012747, thetaは-90.004197
スキャン番号: 63, ロボットのxは-0.000640, yは0.012746, thetaは-89.995165
スキャン番号: 64, ロボットのxは-0.000644, yは0.012748, thetaは-90.029525
スキャン番号: 65, ロボットのxは-0.000645, yは0.012749, thetaは-90.048140
スキャン番号: 66, ロボットのxは-0.000649, yは0.012749, thetaは-90.048086
スキャン番号: 67, ロボットのxは-0.000650, yは0.012751, thetaは-90.040569
スキャン番号: 68, ロボットのxは-0.000648, yは0.012751, thetaは-90.001877
スキャン番号: 69, ロボットのxは-0.000645, yは0.012751, thetaは-89.996942
スキャン番号: 70, ロボットのxは-0.000645, yは0.012751, thetaは-89.997015
スキャン番号: 71, ロボットのxは-0.000646, yは0.012750, thetaは-89.987389
スキャン番号: 72, ロボットのxは-0.000644, yは0.012750, thetaは-89.990852
スキャン番号: 73, ロボットのxは-0.000645, yは0.012749, thetaは-89.988352
スキャン番号: 74, ロボットのxは-0.000645, yは0.012748, thetaは-89.987366
スキャン番号: 75, ロボットのxは-0.000646, yは0.012747, thetaは-89.994251
スキャン番号: 76, ロボットのxは-0.000648, yは0.012747, thetaは-89.995996
スキャン番号: 77, ロボットのxは-0.000651, yは0.012746, thetaは-90.000131
スキャン番号: 78, ロボットのxは-0.000652, yは0.012746, thetaは-90.006269
スキャン番号: 79, ロボットのxは-0.000651, yは0.012746, thetaは-90.004874
スキャン番号: 80, ロボットのxは-0.000650, yは0.012746, thetaは-89.999363
スキャン番号: 81, ロボットのxは-0.000647, yは0.012746, thetaは-89.993631
スキャン番号: 82, ロボットのxは-0.000647, yは0.012747, thetaは-90.000776
スキャン番号: 83, ロボットのxは-0.000643, yは0.012747, thetaは-90.007642
スキャン番号: 84, ロボットのxは-0.000641, yは0.012746, thetaは-90.001114
スキャン番号: 85, ロボットのxは-0.000642, yは0.012745, thetaは-89.994056
スキャン番号: 86, ロボットのxは-0.000638, yは0.012744, thetaは-90.000668
スキャン番号: 87, ロボットのxは-0.000637, yは0.012743, thetaは-89.989230
スキャン番号: 88, ロボットのxは-0.000635, yは0.012743, thetaは-89.996148
スキャン番号: 89, ロボットのxは-0.000634, yは0.012743, thetaは-89.996210
スキャン番号: 90, ロボットのxは-0.000632, yは0.012744, thetaは-90.014761
スキャン番号: 91, ロボットのxは-0.000635, yは0.012746, thetaは-90.041183
スキャン番号: 92, ロボットのxは-0.000642, yは0.012748, thetaは-90.062541
スキャン番号: 93, ロボットのxは-0.000639, yは0.012748, thetaは-90.006928
スキャン番号: 94, ロボットのxは-0.000638, yは0.012747, thetaは-89.993594
スキャン番号: 95, ロボットのxは-0.000636, yは0.012747, thetaは-89.990718
スキャン番号: 96, ロボットのxは-0.000636, yは0.012746, thetaは-89.994735
スキャン番号: 97, ロボットのxは-0.000636, yは0.012746, thetaは-89.989178
スキャン番号: 98, ロボットのxは-0.000635, yは0.012746, thetaは-89.990971
スキャン番号: 99, ロボットのxは-0.000630, yは0.012746, thetaは-89.991832
スキャン番号: 100, ロボットのxは-0.000626, yは0.012745, thetaは-89.989805
スキャン番号: 101, ロボットのxは-0.000627, yは0.012745, thetaは-90.006597
スキャン番号: 102, ロボットのxは-0.000624, yは0.012746, thetaは-90.002929
スキャン番号: 103, ロボットのxは-0.000626, yは0.012746, thetaは-90.010417
スキャン番号: 104, ロボットのxは-0.000625, yは0.012746, thetaは-90.007336
スキャン番号: 105, ロボットのxは-0.000617, yは0.012742, thetaは-89.945516
スキャン番号: 106, ロボットのxは-0.000615, yは0.012742, thetaは-89.985070
スキャン番号: 107, ロボットのxは-0.000615, yは0.012742, thetaは-89.990836
スキャン番号: 108, ロボットのxは-0.000615, yは0.012742, thetaは-90.006803
スキャン番号: 109, ロボットのxは-0.000612, yは0.012743, thetaは-89.997178
スキャン番号: 110, ロボットのxは-0.000614, yは0.012741, thetaは-89.992891
スキャン番号: 111, ロボットのxは-0.000610, yは0.012740, thetaは-89.994863
スキャン番号: 112, ロボットのxは-0.000610, yは0.012740, thetaは-89.990112
スキャン番号: 113, ロボットのxは-0.000613, yは0.012739, thetaは-89.992084
スキャン番号: 114, ロボットのxは-0.000611, yは0.012739, thetaは-90.002416
スキャン番号: 115, ロボットのxは-0.000609, yは0.012739, thetaは-89.995982
スキャン番号: 116, ロボットのxは-0.000611, yは0.012738, thetaは-90.009170
スキャン番号: 117, ロボットのxは-0.000612, yは0.012737, thetaは-90.004371
スキャン番号: 118, ロボットのxは-0.000613, yは0.012736, thetaは-90.003555
スキャン番号: 119, ロボットのxは-0.000617, yは0.012736, thetaは-90.005651
スキャン番号: 120, ロボットのxは-0.000617, yは0.012735, thetaは-89.996753
スキャン番号: 121, ロボットのxは-0.000619, yは0.012734, thetaは-89.999925
スキャン番号: 122, ロボットのxは-0.000619, yは0.012734, thetaは-89.999926
スキャン番号: 123, ロボットのxは-0.000621, yは0.012733, thetaは-89.985314
スキャン番号: 124, ロボットのxは-0.000619, yは0.012733, thetaは-89.993797
スキャン番号: 125, ロボットのxは-0.000622, yは0.012731, thetaは-89.991499
スキャン番号: 126, ロボットのxは-0.000603, yは0.008187, thetaは-90.377554
スキャン番号: 127, ロボットのxは-0.001122, yは-0.005559, thetaは-91.293182
スキャン番号: 128, ロボットのxは-0.019623, yは-0.051575, thetaは-94.910186
スキャン番号: 129, ロボットのxは0.001326, yは-0.137014, thetaは-97.014631
スキャン番号: 130, ロボットのxは-0.026851, yは-0.283300, thetaは-98.280904
スキャン番号: 131, ロボットのxは-0.047360, yは-0.424694, thetaは-98.288084
スキャン番号: 132, ロボットのxは-0.075019, yは-0.572954, thetaは-98.121877
スキャン番号: 133, ロボットのxは-0.091194, yは-0.678884, thetaは-97.447434
スキャン番号: 134, ロボットのxは-0.122345, yは-0.789877, thetaは-99.387863
スキャン番号: 135, ロボットのxは-0.170769, yは-0.852290, thetaは-107.179949
スキャン番号: 136, ロボットのxは-0.161470, yは-0.906775, thetaは-117.132032
スキャン番号: 137, ロボットのxは-0.160152, yは-0.904482, thetaは-120.406405
スキャン番号: 138, ロボットのxは-0.158134, yは-0.901191, thetaは-125.184767
スキャン番号: 139, ロボットのxは-0.151691, yは-0.890424, thetaは-130.138658
スキャン番号: 140, ロボットのxは-0.148298, yは-0.886570, thetaは-135.143119
スキャン番号: 141, ロボットのxは-0.152371, yは-0.889485, thetaは-143.553983
スキャン番号: 142, ロボットのxは-0.158022, yは-0.893067, thetaは-149.101833
スキャン番号: 143, ロボットのxは-0.162885, yは-0.894378, thetaは-158.712512
スキャン番号: 144, ロボットのxは-0.161866, yは-0.894205, thetaは-168.566828
スキャン番号: 145, ロボットのxは-0.159692, yは-0.893798, thetaは-174.018369
スキャン番号: 146, ロボットのxは-0.157062, yは-0.893701, thetaは179.834238
スキャン番号: 147, ロボットのxは-0.157631, yは-0.893623, thetaは175.347213
スキャン番号: 148, ロボットのxは-0.160222, yは-0.893410, thetaは172.940811
スキャン番号: 149, ロボットのxは-0.163522, yは-0.892875, thetaは170.147150
スキャン番号: 150, ロボットのxは-0.181751, yは-0.877199, thetaは161.937187
スキャン番号: 151, ロボットのxは-0.179723, yは-0.777977, thetaは149.385968
スキャン番号: 152, ロボットのxは-0.275212, yは-0.746651, thetaは137.018597
